crop_id,frame_id,video_id,crop_path
01c4417e03d470b4cafa58c32cfc5c78_c00002,01c4417e03d470b4cafa58c32cfc5c78_f00010,01c4417e03d470b4cafa58c32cfc5c78,/Users/vaishak/Documents/BirdRe-Id/data/crops/01c4417e03d470b4cafa58c32cfc5c78/crop_00002.jpg
01c4417e03d470b4cafa58c32cfc5c78_c00003,01c4417e03d470b4cafa58c32cfc5c78_f00020,01c4417e03d470b4cafa58c32cfc5c78,/Users/vaishak/Documents/BirdRe-Id/data/crops/01c4417e03d470b4cafa58c32cfc5c78/crop_00003.jpg
01c4417e03d470b4cafa58c32cfc5c78_c00004,01c4417e03d470b4cafa58c32cfc5c78_f00040,01c4417e03d470b4cafa58c32cfc5c78,/Users/vaishak/Documents/BirdRe-Id/data/crops/01c4417e03d470b4cafa58c32cfc5c78/crop_00004.jpg
01c4417e03d470b4cafa58c32cfc5c78_c00006,01c4417e03d470b4cafa58c32cfc5c78_f00070,01c4417e03d470b4cafa58c32cfc5c78,/Users/vaishak/Documents/BirdRe-Id/data/crops/01c4417e03d470b4cafa58c32cfc5c78/crop_00006.jpg
01c4417e03d470b4cafa58c32cfc5c78_c00007,01c4417e03d470b4cafa58c32cfc5c78_f00080,01c4417e03d470b4cafa58c32cfc5c78,/Users/vaishak/Documents/BirdRe-Id/data/crops/01c4417e03d470b4cafa58c32cfc5c78/crop_00007.jpg
01c4417e03d470b4cafa58c32cfc5c78_c00008,01c4417e03d470b4cafa58c32cfc5c78_f00090,01c4417e03d470b4cafa58c32cfc5c78,/Users/vaishak/Documents/BirdRe-Id/data/crops/01c4417e03d470b4cafa58c32cfc5c78/crop_00008.jpg
01c4417e03d470b4cafa58c32cfc5c78_c00009,01c4417e03d470b4cafa58c32cfc5c78_f00100,01c4417e03d470b4cafa58c32cfc5c78,/Users/vaishak/Documents/BirdRe-Id/data/crops/01c4417e03d470b4cafa58c32cfc5c78/crop_00009.jpg
01c4417e03d470b4cafa58c32cfc5c78_c00010,01c4417e03d470b4cafa58c32cfc5c78_f00110,01c4417e03d470b4cafa58c32cfc5c78,/Users/vaishak/Documents/BirdRe-Id/data/crops/01c4417e03d470b4cafa58c32cfc5c78/crop_00010.jpg
01c4417e03d470b4cafa58c32cfc5c78_c00011,01c4417e03d470b4cafa58c32cfc5c78_f00120,01c4417e03d470b4cafa58c32cfc5c78,/Users/vaishak/Documents/BirdRe-Id/data/crops/01c4417e03d470b4cafa58c32cfc5c78/crop_00011.jpg
01c4417e03d470b4cafa58c32cfc5c78_c00016,01c4417e03d470b4cafa58c32cfc5c78_f00180,01c4417e03d470b4cafa58c32cfc5c78,/Users/vaishak/Documents/BirdRe-Id/data/crops/01c4417e03d470b4cafa58c32cfc5c78/crop_00016.jpg
